"16 thg 5, 1976","1976-05-16"
"20 tháng 3 1978","1978-03-20"
"13 thg 10 1971","1971-10-13"
"05/04/1994","1994-04-05"
"THÁNG 9 17, 1980","1980-09-17"
"30 THG 7 1986","1986-07-30"
"18 tháng 8, 1974","1974-08-18"
"2 THÁNG 11 1974","1974-11-02"
"Thứ Năm, ngày 08 tháng 9 năm 1988","1988-09-08"
"tháng 7 6 1988","1988-07-06"
"6 tháng 5 2004","2004-05-06"
"26 THG 6, 1983","1983-06-26"
"05.07.93","1993-07-05"
"6 tháng 3 2013","2013-03-06"
"21 THG 10 2015","2015-10-21"
"15 05 04","2004-05-15"
"16/07/1976","1976-07-16"
"19 THG 4 1998","1998-04-19"
"14 THÁNG 7 2018","2018-07-14"
"12 09 12","2012-09-12"
"17 THÁNG 11, 1976","1976-11-17"
"10 thg 6, 1984","1984-06-10"
"13 tháng 2, 1998","1998-02-13"
"14 tháng 7 2007","2007-07-14"
"10/09/2006","2006-09-10"
"31 thg 10, 1999","1999-10-31"
"30.06.76","1976-06-30"
"20 03 84","1984-03-20"
"tháng 11 7, 2012","2012-11-07"
"THỨ NĂM, NGÀY 27 THÁNG 1 NĂM 2011","2011-01-27"
"16, THG 11 1993","1993-11-16"
"8 tháng 1, 1982","1982-01-08"
"02, thg 3 1997","1997-03-02"
"31 tháng 10 1981","1981-10-31"
"29.12.86","1986-12-29"
"12 tháng 2 1981","1981-02-12"
"24/09/1981","1981-09-24"
"17 thg 3 2006","2006-03-17"
"03/04/1982","1982-04-03"
"22 thg 12 2003","2003-12-22"
"tháng 5 5, 2012","2012-05-05"
"7 THÁNG 10, 2007","2007-10-07"
"29 thg 8, 2012","2012-08-29"
"15 tháng 4 1988","1988-04-15"
"5 thg 6 2014","2014-06-05"
"10 tháng 5 1980","1980-05-10"
"20 THÁNG 2 1993","1993-02-20"
"12 tháng 8 2007","2007-08-12"
"31 thg 8, 1998","1998-08-31"
"09.08.01","2001-08-09"
"tháng 11 26 1980","1980-11-26"
"7 tháng 3 2010","2010-03-07"
"15 tháng 12 1978","1978-12-15"
"THỨ SÁU, NGÀY 24 THÁNG 12 NĂM 2004","2004-12-24"
"2 thg 4 1990","1990-04-02"
"23 THÁNG 7, 1971","1971-07-23"
"29, thg 4 1985","1985-04-29"
"08 THG 5 2004","2004-05-08"
"30 07 00","2000-07-30"
"27.10.13","2013-10-27"
"20 THÁNG 1 1978","1978-01-20"
"THỨ HAI, NGÀY 05 THÁNG 6 NĂM 1972","1972-06-05"
"24 tháng 2 1981","1981-02-24"
"22.03.73","1973-03-22"
"27/06/1993","1993-06-27"
"22 07 86","1986-07-22"
"tháng 1 22 1987","1987-01-22"
"01/12/1990","1990-12-01"
"28 thg 9, 2003","2003-09-28"
"20 tháng 11 1997","1997-11-20"
"17.05.71","1971-05-17"
"26 thg 3, 1977","1977-03-26"
"14 thg 3 2015","2015-03-14"
"tháng 1 14, 2008","2008-01-14"
"19 thg 11, 1987","1987-11-19"
"tháng 1 23, 1983","1983-01-23"
"Thứ Hai, ngày 17 tháng 11 năm 2003","2003-11-17"
"Thứ Năm, ngày 27 tháng 8 năm 2009","2009-08-27"
"15, thg 8 1990","1990-08-15"
"18 THG 7, 1980","1980-07-18"
"25 thg 2 1975","1975-02-25"
"29 thg 7 1980","1980-07-29"
"THỨ NĂM, NGÀY 15 THÁNG 8 NĂM 1991","1991-08-15"
"tháng 1 27 1971","1971-01-27"
"11 thg 2 2017","2017-02-11"
"28 THÁNG 7 1992","1992-07-28"
"4 thg 12, 1994","1994-12-04"
"ngày 03 tháng 09 năm 2006","2006-09-03"
"Ngày 15 tháng 10 năm 2016","2016-10-15"
"20, THG 6 1990","1990-06-20"
"tháng 2 22, 1985","1985-02-22"
"12 tháng 5 2018","2018-05-12"
"tháng 9 9 1975","1975-09-09"
"12/08/1974","1974-08-12"
"Thứ Ba, ngày 15 tháng 8 năm 1972","1972-08-15"
"4 thg 5, 2012","2012-05-04"
"18/10/2014","2014-10-18"
"29 tháng 7, 2014","2014-07-29"
"15 thg 10 2013","2013-10-15"
"tháng 5 14 1973","1973-05-14"
"27 09 08","2008-09-27"
"23 11 98","1998-11-23"
"30/04/1981","1981-04-30"
"31 tháng 7 2017","2017-07-31"
"01.11.79","1979-11-01"
"tháng 5 13 1978","1978-05-13"
"12 THG 3, 1990","1990-03-12"
"thứ năm, ngày 13 tháng 1 năm 2005","2005-01-13"
"24/08/1978","1978-08-24"
"13 thg 5, 1994","1994-05-13"
"3 thg 1 2007","2007-01-03"
"tháng 12 5 1983","1983-12-05"
"25 THG 3 1985","1985-03-25"
"7 THG 12, 2002","2002-12-07"
"16 tháng 10, 2016","2016-10-16"
"3 tháng 11, 2004","2004-11-03"
"12/11/2001","2001-11-12"
"22 tháng 1 1985","1985-01-22"
"22 THG 2 2017","2017-02-22"
"17, THG 12 1972","1972-12-17"
"Thứ Hai, ngày 18 tháng 3 năm 1974","1974-03-18"
"ngày 12 tháng 07 năm 1991","1991-07-12"
"02, thg 9 1999","1999-09-02"
"12 thg 4, 1991","1991-04-12"
"22 10 80","1980-10-22"
"17, thg 5 1977","1977-05-17"
"11 05 02","2002-05-11"
"tháng 2 11 2011","2011-02-11"
"Ngày 01 tháng 02 năm 1974","1974-02-01"
"19 THÁNG 7 1982","1982-07-19"
"13/05/1992","1992-05-13"
"12 tháng 10 1974","1974-10-12"
"15 THG 7, 2008","2008-07-15"
"21.11.84","1984-11-21"
"15 thg 6, 1999","1999-06-15"
"24/01/1977","1977-01-24"
"07, thg 3 1991","1991-03-07"
"16/01/1978","1978-01-16"
"24 thg 12 2017","2017-12-24"
"tháng 5 25 2014","2014-05-25"
"15 04 99","1999-04-15"
"09, THG 5 1989","1989-05-09"
"NGÀY 13 THÁNG 06 NĂM 1998","1998-06-13"
"13.08.02","2002-08-13"
"15 thg 12, 1995","1995-12-15"
"10 thg 8 1970","1970-08-10"
"THỨ TƯ, NGÀY 08 THÁNG 4 NĂM 2009","2009-04-08"
"30, THG 9 1974","1974-09-30"
"05 thg 5 1973","1973-05-05"
"8 THÁNG 12, 1978","1978-12-08"
"14.03.81","1981-03-14"
"15 thg 7 1997","1997-07-15"
"tháng 1 10 2016","2016-01-10"
"22 tháng 11, 1996","1996-11-22"
"1 THG 7 2008","2008-07-01"
"3 THG 2 1982","1982-02-03"
"26, thg 11 2005","2005-11-26"
"27/04/1976","1976-04-27"
"6 tháng 6 1999","1999-06-06"
"9 thg 8, 1993","1993-08-09"
"tháng 11 3 1976","1976-11-03"
"8 tháng 11 1983","1983-11-08"
"Ngày 22 tháng 07 năm 1983","1983-07-22"
"Ngày 05 tháng 02 năm 1985","1985-02-05"
"08.02.01","2001-02-08"
"16 thg 1, 1971","1971-01-16"
"tháng 8 23, 2010","2010-08-23"
"14 03 00","2000-03-14"
"tháng 10 5 2003","2003-10-05"
"28 tháng 6, 1997","1997-06-28"
"10.02.77","1977-02-10"
"24 THÁNG 10 1978","1978-10-24"
"Ngày 03 tháng 12 năm 1980","1980-12-03"
"5 11 88","1988-11-05"
"28 THÁNG 7, 1999","1999-07-28"
"26 tháng 2 1994","1994-02-26"
"6 08 15","2015-08-06"
"thứ tư, ngày 20 tháng 12 năm 2017","2017-12-20"
"Thứ Tư, ngày 07 tháng 6 năm 2000","2000-06-07"
"3 tháng 7 2002","2002-07-03"
"04.02.96","1996-02-04"
"11 THÁNG 8, 2013","2013-08-11"
"17 tháng 9 1991","1991-09-17"
"18.06.05","2005-06-18"
"01 THG 3 2018","2018-03-01"
"26 thg 10, 2012","2012-10-26"
"THỨ BẢY, NGÀY 30 THÁNG 12 NĂM 2006","2006-12-30"
"THÁNG 2 2, 1980","1980-02-02"
"9 tháng 7 2014","2014-07-09"
"17 thg 9 2011","2011-09-17"
"22 tháng 8 1980","1980-08-22"
"tháng 2 12, 1991","1991-02-12"
"05 thg 3 1974","1974-03-05"
"18 01 78","1978-01-18"
"Ngày 24 tháng 11 năm 1989","1989-11-24"
"08, THG 3 1991","1991-03-08"
"11/05/1999","1999-05-11"
"26 06 80","1980-06-26"
"13 tháng 12, 2016","2016-12-13"
"10 thg 7, 2015","2015-07-10"
"16.06.04","2004-06-16"
"03, thg 9 1995","1995-09-03"
"tháng 12 16, 1984","1984-12-16"
"4 thg 8 2015","2015-08-04"
"10, THG 7 1984","1984-07-10"
"tháng 12 19 1976","1976-12-19"
"17 THG 6 2006","2006-06-17"
"12 thg 11, 2003","2003-11-12"
"5 tháng 9 1980","1980-09-05"
"Thứ Năm, ngày 28 tháng 8 năm 1975","1975-08-28"
"05/12/2011","2011-12-05"
"03 thg 1 1997","1997-01-03"
"23 thg 2, 2011","2011-02-23"
"18 thg 7 2015","2015-07-18"
"14 12 72","1972-12-14"
"26 tháng 2 2004","2004-02-26"
"5 thg 12 1983","1983-12-05"
"thứ ba, ngày 02 tháng 3 năm 2010","2010-03-02"
"14 tháng 5, 2005","2005-05-14"
"tháng 3 21, 1999","1999-03-21"
"09/03/1995","1995-03-09"
"11 THG 10, 2008","2008-10-11"
"26 thg 3 1995","1995-03-26"
"ngày 04 tháng 04 năm 2011","2011-04-04"
"22 thg 1 1990","1990-01-22"
"4 thg 5, 1971","1971-05-04"
"16 tháng 4, 1979","1979-04-16"
"26.02.13","2013-02-26"
"16/05/1975","1975-05-16"
"1 tháng 12 1999","1999-12-01"
"20 thg 12 1980","1980-12-20"
"Chủ Nhật, ngày 20 tháng 8 năm 1972","1972-08-20"
"tháng 9 28 2012","2012-09-28"
"Chủ Nhật, ngày 31 tháng 1 năm 2016","2016-01-31"
"NGÀY 13 THÁNG 03 NĂM 1986","1986-03-13"
"Ngày 20 tháng 04 năm 2007","2007-04-20"
"06/08/1970","1970-08-06"
"29, THG 10 2014","2014-10-29"
"17, thg 1 1972","1972-01-17"
"THỨ NĂM, NGÀY 21 THÁNG 6 NĂM 2018","2018-06-21"
"21 THG 7, 1984","1984-07-21"
"21.05.88","1988-05-21"
"7 thg 2, 2003","2003-02-07"
"Ngày 22 tháng 09 năm 1986","1986-09-22"
"13 tháng 12 1985","1985-12-13"
"19 thg 2 2015","2015-02-19"
"tháng 4 9, 1983","1983-04-09"
"4 09 08","2008-09-04"
"14 thg 5 1990","1990-05-14"
"19.01.81","1981-01-19"
"ngày 24 tháng 05 năm 2007","2007-05-24"
"07.03.71","1971-03-07"
"Ngày 20 tháng 11 năm 1972","1972-11-20"
"05, thg 4 2011","2011-04-05"
"2 06 95","1995-06-02"
"6 tháng 9 2015","2015-09-06"
"30/05/1996","1996-05-30"
"4 05 18","2018-05-04"
"24 thg 6 1976","1976-06-24"
"19, thg 4 1993","1993-04-19"
"31 03 14","2014-03-31"
"Ngày 14 tháng 10 năm 1999","1999-10-14"
"6 tháng 6 1987","1987-06-06"
"8 tháng 8, 2018","2018-08-08"
"tháng 11 30, 1978","1978-11-30"
"NGÀY 11 THÁNG 10 NĂM 2015","2015-10-11"
"28.11.97","1997-11-28"
"3 THÁNG 10 1971","1971-10-03"
"Ngày 10 tháng 02 năm 2008","2008-02-10"
"25 thg 9, 1985","1985-09-25"
"1 thg 8, 2000","2000-08-01"
"THÁNG 8 29, 1988","1988-08-29"
"tháng 1 6 2016","2016-01-06"
"23, thg 12 2007","2007-12-23"
"26 THG 2, 1983","1983-02-26"
"Ngày 25 tháng 05 năm 2017","2017-05-25"
"11.09.92","1992-09-11"
"6 thg 10 1972","1972-10-06"
"07/01/1992","1992-01-07"
"NGÀY 12 THÁNG 12 NĂM 1974","1974-12-12"
"27.08.95","1995-08-27"
"Ngày 04 tháng 11 năm 1993","1993-11-04"
"THỨ BA, NGÀY 16 THÁNG 9 NĂM 2008","2008-09-16"
"13 thg 4, 1978","1978-04-13"
"4 tháng 2, 1987","1987-02-04"
"THÁNG 11 19 1996","1996-11-19"
"tháng 1 25, 2007","2007-01-25"
"24 thg 1, 2001","2001-01-24"
"5 THG 11, 2006","2006-11-05"
"6 tháng 6 1981","1981-06-06"
"tháng 3 3 2000","2000-03-03"
"20 thg 9 1996","1996-09-20"
"Chủ Nhật, ngày 12 tháng 6 năm 2005","2005-06-12"
"07, thg 2 1991","1991-02-07"
"15/09/2018","2018-09-15"
"19 10 98","1998-10-19"
"20 tháng 9, 1995","1995-09-20"
"10 thg 6 1987","1987-06-10"
"26 thg 3, 2013","2013-03-26"
"21, THG 6 2014","2014-06-21"
"01, thg 4 1990","1990-04-01"
"13 THG 3 2010","2010-03-13"
"Chủ Nhật, ngày 08 tháng 3 năm 1998","1998-03-08"
"27 tháng 11 2016","2016-11-27"
"3 thg 10, 1976","1976-10-03"
"07 thg 7 1993","1993-07-07"
"THÁNG 1 15, 2017","2017-01-15"
"03.01.81","1981-01-03"
"THỨ BẢY, NGÀY 08 THÁNG 10 NĂM 1983","1983-10-08"
"10.01.93","1993-01-10"
"11.09.15","2015-09-11"
"28.09.01","2001-09-28"
"tháng 2 22 2003","2003-02-22"
"6 tháng 9 1974","1974-09-06"
"22 thg 11, 1994","1994-11-22"
"25 tháng 8 2011","2011-08-25"
"20/12/2001","2001-12-20"
"10/05/1970","1970-05-10"
"07 thg 10 1973","1973-10-07"
"4 02 92","1992-02-04"
"28 tháng 11 1976","1976-11-28"
"12 thg 8 1993","1993-08-12"
"25 tháng 11 2002","2002-11-25"
"ngày 09 tháng 11 năm 2001","2001-11-09"
"7 THÁNG 9, 1994","1994-09-07"
"8 THG 1, 1996","1996-01-08"
"chủ nhật, ngày 15 tháng 3 năm 2015","2015-03-15"
"16 tháng 9 2009","2009-09-16"
"17.12.93","1993-12-17"
"tháng 9 14 1983","1983-09-14"
"21 thg 12 1982","1982-12-21"
"10/08/1986","1986-08-10"
"25 10 88","1988-10-25"
"Ngày 21 tháng 12 năm 1974","1974-12-21"
"26 tháng 1 1989","1989-01-26"
"19 thg 2 2005","2005-02-19"
"15 THÁNG 7 2017","2017-07-15"
"20 11 06","2006-11-20"
"Ngày 17 tháng 05 năm 1990","1990-05-17"
"23 thg 2 1981","1981-02-23"
"24 tháng 4, 2010","2010-04-24"
"21 thg 4 1993","1993-04-21"
"10/09/1997","1997-09-10"
"NGÀY 26 THÁNG 07 NĂM 1999","1999-07-26"
"04.05.12","2012-05-04"
"11, thg 10 1985","1985-10-11"
"19 thg 6 1983","1983-06-19"
"1 thg 1 2013","2013-01-01"
"13.09.00","2000-09-13"
"tháng 11 20, 1998","1998-11-20"
"6 THÁNG 6 1988","1988-06-06"
"08/08/2015","2015-08-08"
"20 thg 5, 1973","1973-05-20"
"Thứ Tư, ngày 27 tháng 3 năm 2002","2002-03-27"
"tháng 7 22 1982","1982-07-22"
"16 07 85","1985-07-16"
"28 thg 8 1982","1982-08-28"
"16 thg 7 1982","1982-07-16"
"5 thg 6 1994","1994-06-05"
"5 thg 12 2008","2008-12-05"
"18, thg 11 1980","1980-11-18"
"tháng 8 19, 1973","1973-08-19"
"29/03/2012","2012-03-29"
"tháng 1 5 2002","2002-01-05"
"tháng 2 2 1991","1991-02-02"
"THỨ NĂM, NGÀY 03 THÁNG 9 NĂM 1970","1970-09-03"
"30 thg 9 1980","1980-09-30"
"14 tháng 5 1989","1989-05-14"
"8 tháng 3, 2016","2016-03-08"
"29 tháng 11 1977","1977-11-29"
"tháng 8 8, 1984","1984-08-08"
"21 thg 1, 2003","2003-01-21"
"18 THG 2, 2014","2014-02-18"
"3 thg 9 1989","1989-09-03"
"12/10/1971","1971-10-12"
"tháng 10 21, 2013","2013-10-21"
"3 thg 6 1971","1971-06-03"
"tháng 1 31 1974","1974-01-31"
"18 thg 8 2002","2002-08-18"
"31.03.85","1985-03-31"
"31 THÁNG 7 2001","2001-07-31"
"16 thg 11, 2017","2017-11-16"
"11 THG 2 2018","2018-02-11"
"Thứ Tư, ngày 22 tháng 11 năm 1972","1972-11-22"
"Thứ Hai, ngày 18 tháng 1 năm 2016","2016-01-18"
"THÁNG 2 15, 1989","1989-02-15"
"12 THÁNG 11, 1996","1996-11-12"
"29 thg 6 2016","2016-06-29"
"30 thg 8, 2016","2016-08-30"
"Ngày 26 tháng 02 năm 1997","1997-02-26"
"07/03/1975","1975-03-07"
"18 THG 2, 1985","1985-02-18"
"tháng 5 13 1990","1990-05-13"
"tháng 10 14, 1990","1990-10-14"
"Chủ Nhật, ngày 11 tháng 1 năm 1981","1981-01-11"
"THÁNG 7 16 1974","1974-07-16"
"4 thg 12 2006","2006-12-04"
"20 THG 11, 2004","2004-11-20"
"10 03 11","2011-03-10"
"ngày 17 tháng 07 năm 1985","1985-07-17"
"5 thg 8, 1971","1971-08-05"
"3 thg 9 1976","1976-09-03"
"13 thg 4, 2014","2014-04-13"
"28 thg 1, 1974","1974-01-28"
"1 THG 11, 1976","1976-11-01"
"thứ hai, ngày 02 tháng 9 năm 1985","1985-09-02"
"tháng 2 12, 2006","2006-02-12"
"30 tháng 3 1987","1987-03-30"
"28 thg 11, 1983","1983-11-28"
"28 THG 3, 1997","1997-03-28"
"13 10 96","1996-10-13"
"thứ bảy, ngày 26 tháng 7 năm 1986","1986-07-26"
"15.08.72","1972-08-15"
"22 thg 4 1970","1970-04-22"
"21 06 12","2012-06-21"
"THỨ NĂM, NGÀY 18 THÁNG 1 NĂM 1996","1996-01-18"
"Thứ Năm, ngày 01 tháng 1 năm 2009","2009-01-01"
"tháng 9 18 1995","1995-09-18"
"10 tháng 9 1974","1974-09-10"
"05 thg 11 1994","1994-11-05"
"05.05.06","2006-05-05"
"3 THG 12 1979","1979-12-03"
"15, thg 9 1997","1997-09-15"
"21 thg 3 2003","2003-03-21"
"THỨ BA, NGÀY 08 THÁNG 1 NĂM 1974","1974-01-08"
"16 tháng 3 1990","1990-03-16"
"11/05/1995","1995-05-11"
"thứ sáu, ngày 22 tháng 9 năm 1989","1989-09-22"
"29 THG 5 1985","1985-05-29"
"tháng 10 2, 1980","1980-10-02"
"tháng 11 13 1984","1984-11-13"
"5 thg 2, 1998","1998-02-05"
"tháng 6 11, 2002","2002-06-11"
"16 tháng 4 1987","1987-04-16"
"tháng 11 25, 1970","1970-11-25"
"NGÀY 14 THÁNG 04 NĂM 2000","2000-04-14"
"3 tháng 2, 1994","1994-02-03"
"25 07 05","2005-07-25"
"03, thg 1 1990","1990-01-03"
"tháng 5 4 1979","1979-05-04"
"30 thg 11 1977","1977-11-30"
"30 tháng 1, 1975","1975-01-30"
"23, thg 2 1978","1978-02-23"
"14 thg 8 1979","1979-08-14"
"12 tháng 2 1971","1971-02-12"
"16/12/1988","1988-12-16"
"24, thg 6 1980","1980-06-24"
"17.02.99","1999-02-17"
"3 thg 10, 1977","1977-10-03"
"30 tháng 8 2011","2011-08-30"
"THÁNG 7 25, 1970","1970-07-25"
"15 thg 1 1982","1982-01-15"
"12, thg 6 1991","1991-06-12"
"17/03/1988","1988-03-17"
"02/02/1983","1983-02-02"
"19.03.73","1973-03-19"
"30 THÁNG 7, 1976","1976-07-30"
"2 tháng 4 1973","1973-04-02"
"tháng 4 8, 1971","1971-04-08"
"31 tháng 8, 1989","1989-08-31"
"THỨ TƯ, NGÀY 17 THÁNG 7 NĂM 2002","2002-07-17"
"NGÀY 18 THÁNG 01 NĂM 1983","1983-01-18"
"NGÀY 26 THÁNG 04 NĂM 1978","1978-04-26"
"tháng 10 20, 1976","1976-10-20"
"22 tháng 6, 1974","1974-06-22"
"09/06/1974","1974-06-09"
"11, thg 10 1998","1998-10-11"
"03 thg 10 1972","1972-10-03"
"THỨ SÁU, NGÀY 10 THÁNG 3 NĂM 2017","2017-03-10"
"04.07.94","1994-07-04"
"tháng 3 24, 1985","1985-03-24"
"12 thg 7, 2004","2004-07-12"
"NGÀY 29 THÁNG 09 NĂM 1979","1979-09-29"
"20 thg 11 1998","1998-11-20"
"29 thg 3 1999","1999-03-29"
"ngày 11 tháng 04 năm 2008","2008-04-11"
"tháng 3 20 1974","1974-03-20"
"27 thg 2, 2005","2005-02-27"
"13 thg 9, 2000","2000-09-13"
"19 tháng 12 2018","2018-12-19"
"23 thg 12 1970","1970-12-23"
"tháng 5 1 1993","1993-05-01"
"22 THG 6 2015","2015-06-22"
"16, thg 3 1992","1992-03-16"
"14 03 91","1991-03-14"
"22 07 16","2016-07-22"
"24/07/1976","1976-07-24"
"28, THG 4 1994","1994-04-28"
"NGÀY 25 THÁNG 02 NĂM 1972","1972-02-25"
"18.03.94","1994-03-18"
"21 THG 9, 1992","1992-09-21"
"1 tháng 3, 1994","1994-03-01"
"THÁNG 3 19 1973","1973-03-19"
"22, thg 6 1999","1999-06-22"
"tháng 1 16, 1971","1971-01-16"
"15.03.81","1981-03-15"
"THỨ SÁU, NGÀY 23 THÁNG 2 NĂM 2007","2007-02-23"
"25, THG 11 1971","1971-11-25"
"28 thg 9, 1975","1975-09-28"
"Ngày 10 tháng 07 năm 1975","1975-07-10"
"chủ nhật, ngày 25 tháng 3 năm 2001","2001-03-25"
"NGÀY 29 THÁNG 07 NĂM 2004","2004-07-29"
"11 thg 5, 1979","1979-05-11"
"28 tháng 8 1984","1984-08-28"
"20 thg 12, 1999","1999-12-20"
"31 thg 12 1990","1990-12-31"
"THÁNG 7 14 1972","1972-07-14"
"thứ bảy, ngày 23 tháng 12 năm 1978","1978-12-23"
"7 thg 10, 1982","1982-10-07"
"tháng 3 23, 1978","1978-03-23"
"13.08.11","2011-08-13"
"thứ năm, ngày 30 tháng 4 năm 2009","2009-04-30"
"1 01 70","1970-01-01"
"7 11 10","2010-11-07"
"12 thg 2 2006","2006-02-12"
"tháng 6 11 1978","1978-06-11"
"24 THG 11, 1989","1989-11-24"
"25/01/2003","2003-01-25"
"3 10 74","1974-10-03"
"4 tháng 4 2016","2016-04-04"
"Ngày 26 tháng 06 năm 2012","2012-06-26"
"29/03/2006","2006-03-29"
"26 THÁNG 1 2018","2018-01-26"
"27 tháng 4, 1999","1999-04-27"
"14 THÁNG 7 1975","1975-07-14"
"tháng 4 3, 1998","1998-04-03"
"4 thg 4, 1995","1995-04-04"
"20/05/1986","1986-05-20"
"16 tháng 4 1978","1978-04-16"
"10 THG 5, 2006","2006-05-10"
"THÁNG 10 21 1980","1980-10-21"
"3 THÁNG 9 1986","1986-09-03"
"16 THÁNG 3 2004","2004-03-16"
"chủ nhật, ngày 20 tháng 3 năm 2005","2005-03-20"
"27/06/2004","2004-06-27"
"6 thg 12 2009","2009-12-06"
"07 thg 2 1978","1978-02-07"
"thứ năm, ngày 13 tháng 5 năm 1999","1999-05-13"
"18/05/2006","2006-05-18"
"7 tháng 12, 1991","1991-12-07"
"thứ hai, ngày 04 tháng 2 năm 1991","1991-02-04"
"tháng 9 11, 1970","1970-09-11"
"23 thg 12 1988","1988-12-23"
"29 thg 6 1982","1982-06-29"
"tháng 2 28, 1995","1995-02-28"
"10, thg 8 1991","1991-08-10"
"07, thg 12 2018","2018-12-07"
"tháng 9 24, 1974","1974-09-24"
"27, thg 2 1987","1987-02-27"
"4 tháng 2, 2016","2016-02-04"
"13 thg 7, 2005","2005-07-13"
"16 thg 12, 1987","1987-12-16"
"06, thg 2 2004","2004-02-06"
"5 tháng 12 1979","1979-12-05"
"tháng 6 23, 2009","2009-06-23"
"THỨ SÁU, NGÀY 02 THÁNG 8 NĂM 1974","1974-08-02"
"27 tháng 9, 1979","1979-09-27"
"22 07 85","1985-07-22"
"22 12 92","1992-12-22"
"Ngày 23 tháng 01 năm 1977","1977-01-23"
"17 thg 12, 1980","1980-12-17"
"4 tháng 7 1991","1991-07-04"
"07 thg 1 1991","1991-01-07"
"13 thg 2 2010","2010-02-13"
"19 tháng 7 2011","2011-07-19"
"25 THG 6 1987","1987-06-25"
"15 tháng 10 1999","1999-10-15"
"30 THG 3 2002","2002-03-30"
"27 THG 4, 1983","1983-04-27"
"04.06.94","1994-06-04"
"18/09/2014","2014-09-18"
"16 tháng 1, 2013","2013-01-16"
"tháng 1 29, 1972","1972-01-29"
"29, thg 10 1980","1980-10-29"
"31 07 09","2009-07-31"
"tháng 4 11 2000","2000-04-11"
"20 tháng 8, 2018","2018-08-20"
"18, thg 3 1993","1993-03-18"
"Thứ Bảy, ngày 30 tháng 4 năm 2016","2016-04-30"
"tháng 1 31, 1996","1996-01-31"
"8 tháng 7 1981","1981-07-08"
"tháng 9 3 2015","2015-09-03"
"04 THG 5 1998","1998-05-04"
"22, THG 1 1995","1995-01-22"
"tháng 8 28, 1982","1982-08-28"
"Chủ Nhật, ngày 03 tháng 9 năm 1978","1978-09-03"
"28 tháng 12 1974","1974-12-28"
"tháng 10 9 2018","2018-10-09"
"12/05/1998","1998-05-12"
"THÁNG 10 17, 1983","1983-10-17"
"26 THG 7, 1970","1970-07-26"
"tháng 5 30, 2011","2011-05-30"
"13 tháng 3 1976","1976-03-13"
"23 thg 5, 1987","1987-05-23"
"THỨ NĂM, NGÀY 30 THÁNG 9 NĂM 1993","1993-09-30"
"30 THG 5, 1984","1984-05-30"
"14, thg 3 2012","2012-03-14"
"14 tháng 4, 1971","1971-04-14"
"25 THG 4 1976","1976-04-25"
"24 THG 10, 1992","1992-10-24"
"NGÀY 18 THÁNG 05 NĂM 1984","1984-05-18"
"3 12 09","2009-12-03"
"thứ hai, ngày 12 tháng 9 năm 2011","2011-09-12"
"28 tháng 2 1972","1972-02-28"
"20 tháng 12 1995","1995-12-20"
"20 thg 1, 2002","2002-01-20"
"19 THG 2, 1978","1978-02-19"
"24 11 76","1976-11-24"
"13/11/1971","1971-11-13"
"01, thg 9 2008","2008-09-01"
"31 thg 7, 1971","1971-07-31"
